,Unnamed: 0,title,author,city,country,page,city_country,city_location,country_location,city_country_location,best_location,lat,lon,address,geocoded_address,geocoded_country
329,339,The Good Apprentice,Iris Murdoch,London,,The Good Apprentice,,"London, Greater London, England, United Kingdom",,,"London, Greater London, England, United Kingdom",51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom","London, England, United Kingdom",United Kingdom
330,341,Thyl Ulenspiegel,Joost van der Vondel,Damme,,The Legend of Thyl Ulenspiegel and Lamme Goedzak,,"Damme, Brugge, West Flanders, Belgium",,,"Damme, Brugge, West Flanders, Belgium",51.2553021,3.2920911130761956,"Damme, Brugge, West Flanders, Belgium","West Flanders, Belgium",Belgium
331,346,The Old Devils,Kingsley Amis,Wales,,The Old Devils,,"Wales, United Kingdom",,,"Wales, United Kingdom",52.2928116,-3.73893,"Wales, United Kingdom","Wales, United Kingdom",United Kingdom
332,354,The Count of Monte Cristo,Alexandre Dumas,Paris,,The Count of Monte Cristo,,"Paris, Ile-de-France, Metropolitan France, France",,,"Paris, Ile-de-France, Metropolitan France, France",48.8534951,2.3483915,"Paris, Ile-de-France, Metropolitan France, France","Paris, Ile-de-France, France",France
333,368,Nightcrawling,Leila Mottley,Oakland,,Nightcrawling,,"Oakland, Alameda County, California, United States",,,"Oakland, Alameda County, California, United States",37.8044557,-122.271356,"Oakland, Alameda County, California, United States","Oakland, California, United States",United States
334,399,To Rise Again at a Decent Hour,Joshua Ferris,New York City,,To Rise Again at a Decent Hour,,"New York, United States",,,"New York, United States",40.7127281,-74.0060152,"New York, United States","New York, New York, United States",United States
335,406,Vernon God Little,DBC Pierre,Martirio,,Vernon God Little,,"Martirio, San Borja, General José Ballivián Segurola, Beni, Bolivia",,,"Martirio, San Borja, General José Ballivián Segurola, Beni, Bolivia",-15.0303426,-66.7796697,"Martirio, San Borja, General José Ballivián Segurola, Beni, Bolivia","San Borja, Beni, Bolivia",Bolivia
336,453,Loitering with Intent,Muriel Spark,London,,Loitering with Intent,,"London, Greater London, England, United Kingdom",,,"London, Greater London, England, United Kingdom",51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom","London, England, United Kingdom",United Kingdom
337,479,A Body in the Bath House,Lindsey Davis,Rome and Britannia,,A Body in the Bath House,,,,,,,,,,
338,528,The Road To Lichfield,Penelope Lively,Lichfield,,The Road to Lichfield,,"Lichfield, Staffordshire, England, United Kingdom",,,"Lichfield, Staffordshire, England, United Kingdom",52.68064,-1.8243991722405983,"Lichfield, Staffordshire, England, United Kingdom","Lichfield, England, United Kingdom",United Kingdom
339,570,A Long Long Way,Sebastian Barry,Flanders,,A Long Long Way,,"Flanders, Belgium",,,"Flanders, Belgium",51.0962462,4.178629103169916,"Flanders, Belgium",Belgium,Belgium
340,589,Il gattopardo,Giuseppe Tomasi di Lampedusa,Palma di Montechiaro,,The Leopard,,"Palma di Montechiaro, Agrigento, Sicily, 92044, Italy",,,"Palma di Montechiaro, Agrigento, Sicily, 92044, Italy",37.1916637,13.7637141,"Palma di Montechiaro, Agrigento, Sicily, 92044, Italy","Sicily, Italy",Italy
341,591,Hotel du Lac,Anita Brookner,Lake Geneva,,Hotel du Lac,,"Lake Geneva, Upper Savoy, Auvergne-Rhône-Alpes, Metropolitan France, France",,,"Lake Geneva, Upper Savoy, Auvergne-Rhône-Alpes, Metropolitan France, France",46.3613502,6.393247037248148,"Lake Geneva, Upper Savoy, Auvergne-Rhône-Alpes, Metropolitan France, France","Auvergne-Rhône-Alpes, France",France
342,612,A fekete város,Kálmán Mikszáth,Levoča,,A fekete város,,"Levoča, District of Levoča, Region of Prešov, Eastern Slovakia, 054 01, Slovakia",,,"Levoča, District of Levoča, Region of Prešov, Eastern Slovakia, 054 01, Slovakia",49.0251116,20.587999,"Levoča, District of Levoča, Region of Prešov, Eastern Slovakia, 054 01, Slovakia","Region of Prešov, Slovakia",Slovakia
343,633,Judith,Brian Cleeve,London,,Judith (novel),,"London, Greater London, England, United Kingdom",,,"London, Greater London, England, United Kingdom",51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom","London, England, United Kingdom",United Kingdom
344,641,Grace Notes,Bernard MacLaverty,Scotland,,Grace Notes,,"Scotland, United Kingdom",,,"Scotland, United Kingdom",56.7861112,-4.1140518,"Scotland, United Kingdom","Scotland, United Kingdom",United Kingdom
345,647,Barnaby Rudge,Charles Dickens,London,,Barnaby Rudge: A Tale of the Riots of 'Eighty,,"London, Greater London, England, United Kingdom",,,"London, Greater London, England, United Kingdom",51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom","London, England, United Kingdom",United Kingdom
346,671,The Essence of the Thing,Madeleine St John,London,,The Essence of the Thing,,"London, Greater London, England, United Kingdom",,,"London, Greater London, England, United Kingdom",51.4893335,-0.1440550845276872,"London, Greater London, England, United Kingdom","London, England, United Kingdom",United Kingdom
347,3,The Famished Road,Ben Okri,,Nigeria,The Famished Road,,,Nigeria,,Nigeria,9.6000359,7.9999721,Nigeria,Nigeria,Nigeria
348,6,Bring Larks and Heroes,Thomas Keneally,,Australia,Bring Larks and Heroes,,,Australia,,Australia,-24.7761086,134.755,Australia,Australia,Australia
349,10,The Colour of Blood,Brian Moore,,Poland,The Colour of Blood,,,Poland,,Poland,52.215933,19.134422,Poland,Poland,Poland
350,14,The Last Empress,Anchee Min,,China,The Last Empress (novel),,,China,,China,35.000074,104.999927,China,China,China
351,15,"Fasting, Feasting",Anita Desai,,India,"Fasting, Feasting",,,India,,India,22.3511148,78.6677428,India,India,India
352,36,As minas de prata,José de Alencar,,Brazil,As Minas de Prata,,,Brazil,,Brazil,-10.3333333,-53.2,Brazil,Brazil,Brazil
353,40,Shahab Nama,Qudrat Ullah Shahab,,Pakistan,Shahab Nama,,,Pakistan,,Pakistan,30.3308401,71.247499,Pakistan,Pakistan,Pakistan
354,43,Devil's Brood,Sharon Kay Penman,,England,The Devil's Brood,,,"England, United Kingdom",,"England, United Kingdom",52.5310214,-1.2649062,"England, United Kingdom","England, United Kingdom",United Kingdom
355,45,The Family,Mario Puzo,,Italy,The Family (Mario Puzo novel),,,Italy,,Italy,42.6384261,12.674297,Italy,Italy,Italy
356,47,Angélique,Anne Golon,,France,Angelique (French series),,,France,,France,46.603354,1.8883335,France,France,France
357,53,Lies of Silence,Brian Moore,,Northern Ireland,Lies of Silence,,,"Northern Ireland, United Kingdom",,"Northern Ireland, United Kingdom",54.5859836,-6.9591554,"Northern Ireland, United Kingdom","Northern Ireland, United Kingdom",United Kingdom
358,55,The Memoirs of Cleopatra,Margaret George,,Egypt,The Memoirs of Cleopatra,,,Egypt,,Egypt,26.2540493,29.2675469,Egypt,Egypt,Egypt
359,56,The Baroque Cycle,Neal Stephenson,,Europe,The Baroque Cycle,,,Europe,,Europe,51.0,10.0,Europe,,
360,59,The Woman Who Had Two Navels,Nick Joaquín,,Philippines,The Woman Who had Two Navels,,,Philippines,,Philippines,12.7503486,122.7312101,Philippines,Philippines,Philippines
361,60,The Afghan Campaign,Steven Pressfield,,Afghanistan,The Afghan Campaign,,,Afghanistan,,Afghanistan,33.7680065,66.2385139,Afghanistan,Afghanistan,Afghanistan
362,67,The Redundancy of Courage,Timothy Mo,,Danu,The Redundancy of Courage,,,"Danu, Glodeni District, Moldova",,"Danu, Glodeni District, Moldova",47.8316848,27.5003506,"Danu, Glodeni District, Moldova",Moldova,Moldova
363,70,The Forest House,Marion Zimmer Bradley and Diana L. Paxson,,Britain,The Forest House,,,"Great Britain, United Kingdom",,"Great Britain, United Kingdom",54.3151594,-1.918153211148788,"Great Britain, United Kingdom",United Kingdom,United Kingdom
364,72,The Lotus Eaters,Tatjana Soli,,Vietnam,The Lotus Eaters (novel),,,Vietnam,,Vietnam,15.9266657,107.9650855,Vietnam,Vietnam,Vietnam
365,77,The Spinning Heart,Donal Ryan,,Ireland,The Spinning Heart,,,Ireland,,Ireland,52.865196,-7.9794599,Ireland,Ireland,Ireland
366,79,Jalna,Mazo de la Roche,,Canada,Jalna (novel series),,,Canada,,Canada,61.0666922,-107.991707,Canada,Canada,Canada
367,81,The March: A Novel,E. L. Doctorow,,United States,The March (novel),,,United States,,United States,39.7837304,-100.445882,United States,United States,United States
368,84,The Curious Incident of the Dog in the Night-Time,Mark Haddon,,UK,The Curious Incident of the Dog in the Night-Time,,,United Kingdom,,United Kingdom,54.7023545,-3.2765753,United Kingdom,United Kingdom,United Kingdom
369,85,Solomon Gursky Was Here,Mordecai Richler,,Canada,Solomon Gursky Was Here,,,Canada,,Canada,61.0666922,-107.991707,Canada,Canada,Canada
370,88,Unless,Carol Shields,,Canada,Unless,,,Canada,,Canada,61.0666922,-107.991707,Canada,Canada,Canada
371,89,We Need New Names,NoViolet Bulawayo,,Zimbabwe,We Need New Names,,,Zimbabwe,,Zimbabwe,-18.4554963,29.7468414,Zimbabwe,Zimbabwe,Zimbabwe
372,91,Dirt Music,Tim Winton,,Australia,Dirt Music,,,Australia,,Australia,-24.7761086,134.755,Australia,Australia,Australia
373,94,The English Patient,Michael Ondaatje,,North Africa,The English Patient,,,"North Africa, Carrer de Can Valero, Montjuïc, el Poble-sec, Sants-Montjuïc, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain",,"North Africa, Carrer de Can Valero, Montjuïc, el Poble-sec, Sants-Montjuïc, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain",41.36259895,2.1596649904253766,"North Africa, Carrer de Can Valero, Montjuïc, el Poble-sec, Sants-Montjuïc, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","Barcelona, Barcelona, Catalonia, Spain",Spain
374,96,The Islands of Unwisdom,Robert Graves,,Solomon Islands,The Islands of Unwisdom,,,Solomon Islands,,Solomon Islands,-8.7053941,159.1070693851845,Solomon Islands,Solomon Islands,Solomon Islands
375,97,Theft: A Love Story,Peter Carey,,Australia,Theft: A Love Story,,,Australia,,Australia,-24.7761086,134.755,Australia,Australia,Australia
376,99,Max Havelaar of De koffiveilingen der Nederlandsche Handelmaatschappij,Multatuli,,Netherlands,Max Havelaar,,,Netherlands,,Netherlands,52.2434979,5.6343227,Netherlands,Netherlands,Netherlands
377,100,An Instant in the Wind,André Brink,,South Africa,An Instant in the Wind,,,South Africa,,South Africa,-28.8166236,24.991639,South Africa,South Africa,South Africa
378,105,Shōgun,James Clavell,,Japan,Shōgun (novel),,,Japan,,Japan,36.5748441,139.2394179,Japan,Japan,Japan
379,109,Child 44,Tom Rob Smith,,Soviet Union,Child 44,,,"Soviet Union, Kardenweg, Mauthausen, Bezirk Perg, Upper Austria, 4310, Austria",,"Soviet Union, Kardenweg, Mauthausen, Bezirk Perg, Upper Austria, 4310, Austria",48.2582473,14.5007542,"Soviet Union, Kardenweg, Mauthausen, Bezirk Perg, Upper Austria, 4310, Austria","Upper Austria, Austria",Austria
380,113,Jonathan Strange & Mr Norrell,Susanna Clarke,,England,Jonathan Strange & Mr Norrell,,,"England, United Kingdom",,"England, United Kingdom",52.5310214,-1.2649062,"England, United Kingdom","England, United Kingdom",United Kingdom
381,114,Hunger's Brides,W. Paul Anderson,,Mexico,Hunger's Brides,,,Mexico,,Mexico,23.6585116,-102.0077097,Mexico,Mexico,Mexico
382,115,Here Be Dragons,Sharon Kay Penman,,Wales,Here Be Dragons,,,"Wales, United Kingdom",,"Wales, United Kingdom",52.2928116,-3.73893,"Wales, United Kingdom","Wales, United Kingdom",United Kingdom
